release_note_id,date,content
slack-249,25 April 2022,"A little reminder as you go about your day: The world is a more unique place simply because you're a part of it, and you've impacted others in ways you can't imagine. Oh, and no big changes to the app this time. Happy messaging."
slack-250,11 April 2022,"Dash on over to the Quick Switcher to find that searches will more accurately return channels with dashes in their names. If your hopes were previously dashed, we ask for a dash of forgiveness and wish to say you're looking very dashing today."
slack-251,11 April 2022,"Fixed: Uploading a new profile picture was sometimes failing, leaving people stuck with their old ones like an unfortunate driver's license photo. Contrary to popular belief, we've never aspired for Slack to feel like going to the DMV, so retake that photo to your heart's content."
slack-252,11 April 2022,"Fixed: On certain devices, tapping on a notification could lead to a weird state where backing out of a thread would always return you to that message from the notification you tapped. It was a phenomenon as confusing to witness as it is to explain, and we'll all be pleased to never have to experience it again."
slack-253,28 March 2022,"The size of the Slack app (the amount of data you download) is now a bit smaller, lighter, more compact. More efficient. Trim. Tightly engineered. Streamlined. Pared down to its essentials. You know, unlike this update copy."
slack-254,28 March 2022,"Fixed: Attempting to change your notification settings for a specific channel would routinely fail. Not in an entertaining way, or the sort that teaches you something important on your way to greater heights. It just didn't do the thing it was designed to do. Sometimes misfortune carries with it no lesson. Anyway, it works again."
slack-255,14 March 2022,"When previewing a channel prior to joining, you'll now see the channel description displayed with the channel name for a bit more context. For when you're unsure whether #the-owls is a channel for ornithologists, insomniacs or fans of the show Twin Peaks."
slack-256,14 March 2022,"If you're someone whose workday doesn't start at 9 am (or if you find Slackbot alerts first thing in the morning to be less of a pick-me-up and more of a put-me-down), you can now choose when your ""Tomorrow"" or ""Next Week"" reminders will appear. Head over to Preferences > Notifications to set the default that works best for you."
slack-257,14 March 2022,"We love emoji. But they can sometimes overwhelm the screen, particularly when that screen is small and hand-held. So we asked our scientists to determine ""a more reasonable amount"" of reacji to display at one time, and that answer is 9. But don't worry--the full panoply of reactions can be experienced with just a tap of your finger."
